page,impressions,ctr,position,заголовок
https://www.kommersant.ru/doc/3269168,262,3.82,5,
https://www.kommersant.ru/doc/768887,262,1.91,7,
https://www.kommersant.ru/doc/4111679,261,15.33,4,
https://www.kommersant.ru/doc/6283530,261,6.13,10,
https://www.kommersant.ru/doc/6296514,258,3.88,42,
https://www.kommersant.ru/doc/6296520,255,4.31,36,
https://www.kommersant.ru/doc/1929616,254,9.84,2,
https://www.kommersant.ru/doc/2674106,248,0.81,7,
https://www.kommersant.ru/doc/6296841,247,1.62,8,
https://www.kommersant.ru/doc/472962,244,1.64,7,
