page,impressions,ctr,position,заголовок
https://www.kommersant.ru/doc/6320855,3980,3.14,8,"('Патриарх Кирилл заявил об обнаружении Казанской иконы, перед которой молился князь Пожарский – Коммерсантъ', 'Патриарх Кирилл заявил об обнаружении подлинной иконы Казанской Божией Матери – Коммерсантъ')"
https://www.kommersant.ru/doc/4694156,3957,0.61,6,"('Сколопендра: ядовитая и опасная многоножка',)"
https://www.kommersant.ru/doc/6267024,3784,2.85,5,"('Ядерное оружие у Израиля: что об этом известно - Коммерсантъ',)"
https://www.kommersant.ru/doc/5785199,3686,2.77,9,"('Перевал Дятлова: история группы и мнения экспертов',)"
https://www.kommersant.ru/regions/24,3554,0.79,8,"('Последние новости Красноярска и Красноярского края на сегодня - Коммерсантъ',)"
https://www.kommersant.ru/doc/6320795,3513,2.02,5,"('Блогера Аяза Шабутдинова обвинили в мошенничестве – Коммерсантъ',)"
https://www.kommersant.ru/doc/4849667,3362,0.8,8,"('Франкенштейн: только факты',)"
https://www.kommersant.ru/doc/2402320,3345,1.58,7,"('Сунниты и шииты: кто такие и в чем между ними разница',)"
https://www.kommersant.ru/doc/1262297,3323,1.53,7,"('Мусульманские страны: где живут мусульмане, население',)"
https://www.kommersant.ru/doc/6281242,3307,0.79,8,"('«Хезболла»: краткий курс истории движения - Коммерсантъ',)"
https://www.kommersant.ru/doc/6267907,3130,1.05,6,"('Росстат: к 2030 году численность населения РФ сократится на 3,2 млн человек – Коммерсантъ',)"
https://www.kommersant.ru/doc/2453673,2999,1.83,6,"('Вторая чеченская война: хроника, сроки, причины',)"
https://www.kommersant.ru/doc/5968253,2979,3.02,6,"('Все страны с абсолютной монархией',)"
https://www.kommersant.ru/doc/6321225,2960,0.41,9,"('Кулеба заявил, что украинцы готовятся к «самой ужасной зиме в истории» – Коммерсантъ', 'Кулеба је рекао да се Украјинци спремају за ""најстрашнију зиму у историји"" - Комерсант')"
https://www.kommersant.ru/doc/4019330,2954,1.73,8,"('10 знаменитых пород русских лошадей',)"
https://www.kommersant.ru/doc/711951,2924,1.78,5,"('Гранат: как правильно есть и использовать на кухне',)"
https://www.kommersant.ru/doc/6320925,2922,1.51,8,"('РПЦ: патриарх Кирилл представил московский список Казанской иконы – Коммерсантъ',)"
https://www.kommersant.ru/doc/6137273,2914,2.26,9,"('Северная Корея и Южная Корея - в цифрах и фактах',)"
https://www.kommersant.ru/doc/4540484,2910,1.31,8,"('Тутанхамон: история фараона и его мумии',)"
https://www.kommersant.ru/doc/341025,2821,2.23,6,"('Откуда берутся дети – Власть',)"
https://www.kommersant.ru/doc/4228005,2685,1.9,8,"('ЦРУ опубликовало архивные материалы о Бандере – Коммерсантъ',)"
https://www.kommersant.ru/doc/2801357,2541,1.34,8,"('Великий шелковый путь: краткая история',)"
https://www.kommersant.ru/regions/16,2531,1.5,7,"('Последние новости Казани и Татарстана на сегодня - Коммерсантъ', 'Последние новости Казани и Татарстана на сегодня - Коммерсантъ')"
https://www.kommersant.ru/doc/6320852,2475,1.94,6,"('Forbes сообщил о поступлении на Украину бронемашин M1150 Assault Breacher – Коммерсантъ',)"
https://www.kommersant.ru/doc/4790460,2465,0.97,7,"('Джохар Дудаев: жизнь и смерть мятежного генерала',)"
https://www.kommersant.ru/doc/698946,2459,0.73,7,"('Консерватизм, что это - рассказывает кандидат философии',)"
https://www.kommersant.ru/doc/3343874,2415,0.41,9,"('Митохондрии: функции и строение',)"
https://www.kommersant.ru/doc/6310900,2409,0.75,9,"('Рецензия на фильм Уильяма Брента Белла «Лукавый»',)"
https://www.kommersant.ru/doc/6309971,2400,1.83,8,"('Что происходило в Израиле. Главное и карта - Коммерсантъ',)"
https://www.kommersant.ru/doc/5218148,2392,3.51,9,"('Валерий Соловей: биография, чем известен',)"
https://www.kommersant.ru/theme/3172,2372,3.96,7,"('Все о Европе: последние новости - Коммерсантъ',)"
https://www.kommersant.ru/doc/1265009,2147,1.44,8,"('""Жителям Советского Союза аромат бадьяна был знаком по леденцам монпансье"" – Weekend Украина', '&quot;Жителям Советского Союза аромат бадьяна был знаком по леденцам монпансье&quot; – Weekend Украина')"
https://www.kommersant.ru/doc/2599895,2093,2.25,9,"('Йозеф Геббельс в 15 цитатах',)"
https://www.kommersant.ru/doc/5141549,2067,3.82,7,"('С кем останется ребенок после развода',)"
https://www.kommersant.ru/doc/2319540,2018,2.97,8,"('Как умер Ясир Арафат',)"
