page,impressions,ctr,position,заголовок
https://www.kommersant.ru/doc/426537,17886,1.6,10,"('Веймарское маркобесие – Деньги', 'Веймарское маркобесие – Деньги – Коммерсантъ')"
https://www.kommersant.ru/doc/5368337,17818,1.84,11,"('Как ведьмы стали женщинами – Weekend',)"
https://www.kommersant.ru/theme/2668,17538,1.48,13,"('Венгрия и ее отношения с миром: последние новости - Коммерсантъ',)"
https://www.kommersant.ru/doc/526638,17405,1.44,10,"('Главбух Третьего рейха – Деньги – Коммерсантъ',)"
https://www.kommersant.ru/doc/6197605,17251,1.47,10,"('Путин наградил дочь Кадырова медалью ордена «За заслуги перед Отечеством» – Коммерсантъ',)"
https://www.kommersant.ru/doc/6266735,16918,1.55,10,"('«Перед Израилем стоит нерешаемая задача» – Коммерсантъ FM',)"
https://www.kommersant.ru/doc/6124182,16738,1.62,11,"('В Северную Корею впервые за три с половиной года приедут официальные делегации — из России и Китая',)"
https://www.kommersant.ru/doc/6135356,16178,1.85,10,"('Минобороны РФ: беспилотники упали в «Москва-Сити» после подавления средствами РЭБ – Коммерсантъ', 'Минобороны РФ заявило, что пресекло попытку атаки беспилотниками по объектам в Москве – Коммерсантъ', 'Ministerio de Defensa ruso: drones cayeron en la ciudad de Moscú después de ser suprimidos por equipos de guerra electrónica - Kommersant', 'Ministria ruse e Mbrojtjes: dronët ranë në qytetin e Moskës pasi u shtypën nga pajisjet e luftës elektronike - Kommersant')"
https://www.kommersant.ru/doc/6281775,14714,1.93,14,"('Лионель Месси получит восьмой «Золотой мяч»', 'Мяч не по году – Коммерсантъ')"
https://www.kommersant.ru/doc/5873480,14613,1.66,12,"('Перспективы из-под земли – Коммерсантъ Санкт-Петербург',)"
https://www.kommersant.ru/doc/3676533,14243,1.9,12,"('«Евреи своих не бросают» - Коммерсантъ',)"
https://www.kommersant.ru/doc/6015633,13677,1.97,10,"('Пригожин и командир ЧВК «Вагнер» ответили на критику чеченских политиков и военных – Коммерсантъ',)"
https://www.kommersant.ru/doc/6110870,13291,1.91,10,"('Япония может ограничить экспорт подержанных автомобилей в РФ',)"
